Rank,Ticker,Chart,hh,hl,trend_structure,trend_score,current_price,high_6m,low_6m,pct_from_6m_high,RVOL,Velocity %,momentum_score,sector,industry,market_cap,rev_growth_pct,earnings_growth_pct,profit_margin_pct,trailing_pe,forward_pe,analyst_rec,short_ratio,fund_score,rvol_score,composite
1,MTRN,https://www.tradingview.com/symbols/MTRN/,True,True,STRONG UPTREND,10,290.05,304.58,129.46,-4.8,1.38,145.0,2.9,Basic Materials,Other Industrial Metals & Mining,6042821632,42.2,52.1,4.3,67.6,35.1,1.75,1.6,9,3.4,6.7
2,HNGE,https://www.tradingview.com/symbols/HNGE/,True,True,STRONG UPTREND,10,89.33,91.5,30.08,-2.4,1.26,188.3,3.8,Healthcare,Health Information Services,6912367104,53.0,,15.1,10.9,27.7,1.56,2.7,8,3.1,6.7
3,ENVA,https://www.tradingview.com/symbols/ENVA/,True,True,STRONG UPTREND,10,252.64,265.54,129.25,-4.9,0.81,133.8,2.7,Financial Services,Credit Services,6290324480,31.1,39.9,21.0,18.8,12.3,1.29,4.7,10,2.0,6.6
4,DELL,https://www.tradingview.com/symbols/DELL/,True,True,STRONG UPTREND,8,453.77,485.7,110.67,-6.6,0.69,314.4,6.3,Technology,Computer Hardware,293200035840,87.5,282.5,6.3,36.1,20.8,1.78,1.6,9,1.7,6.5
5,U,https://www.tradingview.com/symbols/U/,True,True,STRONG UPTREND,10,43.0,44.36,16.78,-3.1,2.28,121.0,2.4,Technology,Software - Application,18923823104,23.9,,-29.0,,27.2,1.85,4.9,6,5.7,6.4
6,ATKR,https://www.tradingview.com/symbols/ATKR/,True,True,STRONG UPTREND,10,93.71,93.78,53.51,-0.1,5.41,62.4,1.2,Industrials,Electrical Equipment & Parts,3164825856,8.1,-98.4,-5.5,,14.7,3.0,3.6,3,10.0,6.4
7,ECO,https://www.tradingview.com/symbols/ECO/,True,True,STRONG UPTREND,10,61.86,64.26,37.46,-3.7,1.56,57.1,1.1,Industrials,Marine Shipping,2415302400,239.4,606.3,-8.6,5.7,10.4,1.0,1.5,8,3.9,6.2
8,NLY,https://www.tradingview.com/symbols/NLY/,True,True,STRONG UPTREND,10,23.04,23.48,19.3,-1.9,0.96,16.8,1.0,Real Estate,REIT - Mortgage,17365581824,479.4,3426.0,90.7,5.6,7.4,1.92,,10,2.4,6.2
9,CMBT,https://www.tradingview.com/symbols/CMBT/,True,True,STRONG UPTREND,10,16.29,17.0,11.23,-4.2,0.78,62.2,1.2,Energy,Oil & Gas Midstream,4726865408,121.1,460.6,24.9,9.4,10.8,1.75,1.1,10,2.0,6.2
10,AAMI,https://www.tradingview.com/symbols/AAMI/,True,True,STRONG UPTREND,10,89.85,93.61,48.89,-4.0,0.79,119.2,2.4,Financial Services,Asset Management,3201264640,45.3,171.4,15.2,31.7,13.9,3.0,1.5,8,2.0,6.1
11,GBTG,https://www.tradingview.com/symbols/GBTG/,True,True,STRONG UPTREND,10,9.46,9.54,4.95,-0.8,0.71,161.5,3.2,Consumer Cyclical,Travel Services,4941652992,37.9,5.7,2.8,59.1,17.3,2.0,2.2,7,1.8,6.1
12,RNST,https://www.tradingview.com/symbols/RNST/,True,True,STRONG UPTREND,10,42.73,44.54,33.71,-4.1,0.69,36.2,1.0,Financial Services,Banks - Regional,3905712640,45.3,9300.0,29.6,12.5,10.9,1.57,5.0,10,1.7,6.1
13,CON,https://www.tradingview.com/symbols/CON/,True,True,STRONG UPTREND,10,34.06,35.15,20.49,-3.1,1.32,85.2,1.7,Healthcare,Medical Care Facilities,4358378496,13.7,29.4,8.0,24.5,20.0,1.22,3.1,7,3.3,6.0
14,TWLO,https://www.tradingview.com/symbols/TWLO/,True,True,STRONG UPTREND,8,241.28,254.5,105.15,-5.2,1.65,150.8,3.0,Technology,Software - Infrastructure,36619997184,20.0,375.0,2.0,365.6,35.7,1.62,2.1,8,4.1,6.0
15,CSW,https://www.tradingview.com/symbols/CSW/,True,True,STRONG UPTREND,10,350.68,354.71,248.09,-1.1,1.36,7.6,1.0,Industrials,Specialty Industrial Machinery,5713799680,33.0,25.1,10.3,48.0,25.7,2.43,7.8,8,3.4,6.0
16,PAYC,https://www.tradingview.com/symbols/PAYC/,True,True,STRONG UPTREND,10,214.94,222.43,104.33,-3.4,1.58,52.5,1.1,Technology,Software - Application,10022028288,9.8,48.1,22.8,22.7,15.5,2.4,3.4,7,4.0,6.0
17,OSCR,https://www.tradingview.com/symbols/OSCR/,True,True,STRONG UPTREND,8,27.9,33.1,10.69,-15.7,1.2,231.8,4.6,Healthcare,Healthcare Plans,8411654144,70.4,,3.6,21.5,16.2,2.82,3.3,7,3.0,6.0
18,EXPD,https://www.tradingview.com/symbols/EXPD/,True,True,STRONG UPTREND,10,178.71,187.74,128.93,-4.8,1.3,45.8,1.0,Industrials,Integrated Freight & Logistics,23230625792,32.1,51.5,7.6,26.0,22.7,3.12,3.8,8,3.2,6.0
19,MFG,https://www.tradingview.com/symbols/MFG/,True,True,STRONG UPTREND,10,10.71,10.86,7.54,-1.4,0.85,48.1,1.0,Financial Services,Banks - Regional,130471288832,35.0,49.7,29.1,16.7,7.7,2.5,2.5,9,2.1,6.0
20,WAT,https://www.tradingview.com/symbols/WAT/,True,True,STRONG UPTREND,10,406.86,407.88,282.77,-0.3,1.23,54.0,1.1,Healthcare,Diagnostics & Research,39947894784,113.3,,3.6,102.7,24.6,1.75,4.0,8,3.1,6.0
