Rank,Ticker,Chart,hh,hl,trend_structure,trend_score,current_price,high_6m,low_6m,pct_from_6m_high,RVOL,Velocity %,momentum_score,sector,industry,market_cap,rev_growth_pct,earnings_growth_pct,profit_margin_pct,trailing_pe,forward_pe,analyst_rec,short_ratio,fund_score,rvol_score,composite
1,SIF,https://www.tradingview.com/symbols/SIF/,True,True,STRONG UPTREND,8,21.9,27.24,5.78,-19.6,2.22,269.8,5.4,Industrials,Aerospace & Defense,136965408,39.0,,7.8,18.4,,,1.4,7,5.6,6.7
2,VATE,https://www.tradingview.com/symbols/VATE/,True,True,STRONG UPTREND,8,10.16,21.3,3.75,-52.3,1.36,326.7,6.5,Industrials,Engineering & Construction,138601360,33.0,,-4.0,,,,3.5,6,3.4,6.3
3,CEE,https://www.tradingview.com/symbols/CEE/,True,True,STRONG UPTREND,10,20.96,21.98,17.0,-4.6,1.12,34.9,1.0,Financial Services,Asset Management,136663264,63.1,89.7,856.0,3.1,,,0.7,9,2.8,6.1
4,RM,https://www.tradingview.com/symbols/RM/,True,True,STRONG UPTREND,10,42.5,42.98,30.19,-1.1,1.31,25.1,1.0,Financial Services,Credit Services,391346176,9.6,68.6,7.6,8.6,5.8,,7.0,6,3.3,5.6
5,WYY,https://www.tradingview.com/symbols/WYY/,True,True,STRONG UPTREND,8,13.11,24.3,3.96,-46.0,1.02,225.4,4.5,Technology,Information Technology Services,129620936,21.1,,-1.2,,-1311.0,1.0,1.7,6,2.5,5.6
6,RLGT,https://www.tradingview.com/symbols/RLGT/,True,True,STRONG UPTREND,10,9.42,9.68,6.31,-2.7,0.81,72.4,1.4,Industrials,Integrated Freight & Logistics,441154272,0.1,99.5,1.8,28.5,17.4,,3.9,6,2.0,5.5
7,TRT,https://www.tradingview.com/symbols/TRT/,True,True,STRONG UPTREND,8,11.03,21.38,4.42,-48.4,0.27,224.3,4.5,Technology,Semiconductor Equipment & Materials,111541968,123.6,,0.6,275.8,,,0.6,7,1.0,5.5
8,NXG,https://www.tradingview.com/symbols/NXG/,True,True,STRONG UPTREND,10,62.98,65.78,47.35,-4.3,1.43,51.2,1.0,Financial Services,Asset Management,357907968,,,,11.0,,,0.1,5,3.6,5.5
9,CVEO,https://www.tradingview.com/symbols/CVEO/,True,True,STRONG UPTREND,8,30.92,36.5,24.12,-15.3,2.35,68.5,1.4,Consumer Cyclical,Lodging,338366720,19.9,,-2.1,,57.3,1.0,4.0,6,5.9,5.5
10,SRV,https://www.tradingview.com/symbols/SRV/,True,True,STRONG UPTREND,10,50.39,51.25,37.21,-1.7,1.1,57.8,1.2,Financial Services,Asset Management,235200816,,,,458.1,,,1.2,5,2.8,5.4
11,FC,https://www.tradingview.com/symbols/FC/,True,True,STRONG UPTREND,8,20.71,26.81,11.16,-22.8,2.03,87.0,1.7,Consumer Defensive,Education & Training Services,233896096,1.0,,0.8,138.1,14.7,1.33,13.3,6,5.1,5.4
12,NPV,https://www.tradingview.com/symbols/NPV/,True,True,STRONG UPTREND,10,11.43,11.58,10.73,-1.3,1.35,8.9,1.0,Financial Services,Asset Management,223601888,6.7,11.7,-6.5,,,,0.6,4,3.4,5.2
13,SABA,https://www.tradingview.com/symbols/SABA/,True,True,STRONG UPTREND,10,8.2,8.62,7.74,-4.9,1.6,15.7,1.0,Financial Services,Asset Management,227390192,-16.7,-28.6,168.1,6.9,,,0.2,3,4.0,5.2
14,EDF,https://www.tradingview.com/symbols/EDF/,True,True,STRONG UPTREND,10,5.56,5.67,4.57,-1.9,0.97,38.7,1.0,Financial Services,Asset Management,178557664,,,,6.3,,,2.1,5,2.4,5.2
15,INTT,https://www.tradingview.com/symbols/INTT/,True,True,STRONG UPTREND,8,14.97,20.0,7.69,-25.1,0.43,156.5,3.1,Technology,Semiconductor Equipment & Materials,188092912,27.2,,0.5,374.2,23.6,1.67,0.4,7,1.1,5.2
16,IGD,https://www.tradingview.com/symbols/IGD/,True,True,STRONG UPTREND,10,6.24,6.36,5.43,-1.9,1.04,26.6,1.0,Financial Services,Asset Management,492139488,-6.6,19.9,413.0,8.2,,,2.7,4,2.6,5.1
17,COSO,https://www.tradingview.com/symbols/COSO/,True,True,STRONG UPTREND,8,26.3,28.02,22.76,-6.1,0.96,23.6,1.0,Financial Services,Banks - Regional,320010144,18.4,8.5,31.9,12.0,10.1,1.5,1.3,8,2.4,5.1
18,NCZ,https://www.tradingview.com/symbols/NCZ/,True,True,STRONG UPTREND,10,15.65,16.0,12.65,-2.2,0.76,33.5,1.0,Financial Services,Asset Management,297802912,-10.4,54.6,406.3,4.4,,,0.3,5,1.9,5.1
19,BRW,https://www.tradingview.com/symbols/BRW/,True,True,STRONG UPTREND,10,6.63,6.85,6.06,-3.3,0.99,15.5,1.0,Financial Services,Asset Management,284340032,-33.1,15.0,179.4,5.1,,,0.2,4,2.5,5.0
20,KF,https://www.tradingview.com/symbols/KF/,True,True,STRONG UPTREND,8,68.87,81.94,39.95,-16.0,0.69,126.8,2.5,Financial Services,Asset Management,286385440,8.0,,4372.6,3.2,,,0.2,6,1.7,5.0
21,VACI,https://www.tradingview.com/symbols/VACI/,True,True,STRONG UPTREND,10,10.17,10.49,9.89,-3.1,0.39,7.9,1.0,Financial Services,Shell Companies,311880000,,,,,,,0.0,5,1.0,5.0
22,CLBR,https://www.tradingview.com/symbols/CLBR/,True,True,STRONG UPTREND,10,10.25,10.4,10.01,-1.4,0.36,12.1,1.0,Financial Services,Shell Companies,410170848,,,,,,,0.1,5,1.0,5.0
23,AP,https://www.tradingview.com/symbols/AP/,True,True,STRONG UPTREND,8,7.64,12.81,5.2,-40.4,1.62,109.2,2.2,Industrials,Metal Fabrication,155293600,3.9,,-15.5,,33.2,,1.9,4,4.1,5.0
24,SI,https://www.tradingview.com/symbols/SI/,True,True,STRONG UPTREND,8,21.23,22.92,12.0,-7.4,1.18,66.8,1.3,N/A,N/A,440272544,,,,,-15.2,1.25,,6,2.9,4.9
